iter	Passed	Remaining
398	2532	3814
399	2534	3801
400	2535	3787
401	2537	3774
402	2538	3761
403	2540	3747
404	2545	3740
405	2547	3727
406	2549	3713
407	2550	3700
408	2552	3687
409	2553	3674
410	2555	3661
411	2558	3651
412	2560	3639
413	2562	3626
414	2563	3614
415	2565	3601
416	2567	3588
417	2568	3576
418	2570	3564
419	2575	3556
420	2577	3544
421	2578	3532
422	2580	3519
423	2581	3507
424	2583	3495
425	2585	3483
426	2587	3472
427	2589	3460
428	2590	3448
429	2592	3436
430	2593	3424
431	2595	3412
432	2596	3400
433	2602	3393
434	2603	3381
435	2605	3370
436	2606	3358
437	2608	3347
438	2610	3335
439	2611	3323
440	2616	3317
441	2618	3305
442	2620	3294
443	2622	3284
444	2624	3273
445	2627	3263
446	2629	3253
447	2632	3243
448	2635	3234
449	2637	3223
450	2639	3212
451	2644	3206
452	2646	3195
453	2647	3184
454	2649	3173
455	2651	3163
456	2653	3152
457	2654	3141
458	2656	3131
459	2658	3121
460	2660	3111
461	2663	3101
462	2665	3091
463	2671	3086
464	2674	3076
465	2676	3067
466	2678	3057
467	2681	3047
468	2686	3042
469	2689	3032
470	2691	3022
471	2693	3013
472	2695	3003
473	2701	2998
474	2703	2988
475	2706	2979
476	2708	2969
477	2710	2960
478	2716	2954
479	2718	2945
480	2720	2935
481	2723	2926
482	2725	2917
483	2727	2907
484	2732	2901
485	2735	2892
486	2737	2883
487	2739	2873
488	2741	2864
489	2747	2859
490	2750	2851
491	2752	2842
492	2754	2833
493	2757	2824
494	2763	2818
495	2765	2809
496	2767	2800
497	2769	2791
498	2771	2783
499	2777	2777
500	2780	2769
501	2782	2760
502	2784	2751
503	2787	2742
504	2792	2737
505	2795	2728
506	2797	2720
507	2800	2712
508	2802	2703
509	2808	2698
510	2810	2689
511	2812	2681
512	2815	2672
513	2817	2664
514	2823	2658
515	2825	2650
516	2827	2641
517	2829	2632
518	2831	2624
519	2833	2615
520	2839	2610
521	2841	2601
522	2843	2593
523	2846	2585
524	2848	2577
525	2854	2572
526	2856	2564
527	2859	2555
528	2861	2547
529	2863	2539
530	2869	2534
531	2872	2526
532	2874	2518
533	2876	2510
534	2879	2502
535	2884	2497
536	2886	2489
537	2889	2481
538	2891	2473
539	2894	2465
540	2899	2460
541	2902	2452
542	2904	2444
543	2906	2436
544	2908	2428
545	2913	2422
546	2916	2415
547	2918	2407
548	2920	2399
549	2922	2391
550	2924	2382
551	2929	2377
552	2932	2370
553	2934	2362
554	2936	2354
555	2938	2346
556	2943	2341
557	2945	2333
558	2947	2325
559	2949	2317
560	2952	2310
561	2954	2302
562	2959	2297
563	2961	2289
564	2964	2282
565	2966	2274
566	2968	2266
567	2973	2261
568	2975	2253
569	2977	2246
570	2979	2238
571	2981	2231
572	2984	2223
573	2990	2219
574	2992	2212
575	2994	2204
576	2996	2197
577	2999	2189
578	3005	2185
579	3007	2177
580	3009	2170
581	3011	2162
582	3013	2155
583	3019	2150
584	3021	2143
585	3023	2135
586	3025	2128
587	3027	2121
588	3029	2114
589	3035	2109
590	3037	2102
591	3039	2094
592	3041	2087
593	3044	2080
594	3048	2075
595	3051	2068
596	3053	2060
597	3055	2053
598	3057	2046
599	3059	2039
600	3064	2034
601	3067	2027
602	3069	2020
603	3071	2014
604	3074	2006
605	3079	2002
606	3081	1995
607	3083	1988
608	3086	1981
609	3088	1974
610	3090	1967
611	3095	1962
612	3098	1955
613	3100	1948
614	3102	1941
615	3104	1935
616	3109	1930
617	3111	1923
618	3113	1916
619	3115	1909
620	3117	1902
621	3119	1895
622	3125	1891
623	3127	1884
624	3129	1877
625	3131	1870
626	3133	1864
627	3135	1857
628	3140	1852
629	3143	1845
630	3145	1839
631	3147	1832
632	3149	1825
633	3154	1821
634	3156	1814
635	3159	1807
636	3161	1801
